,종목명,현재가,전일대비,등락률
0,KODEX 200선물인버스2X,"2,140",하락 50,-2.28%
1,대원전선,"2,850",상승 655,+29.84%
2,와이씨,"14,090","상승 2,030",+16.83%
3,KODEX 코스닥150선물인버스,"3,445",하락 15,-0.43%
4,대한전선,"13,800","상승 1,500",+12.20%
5,KODEX 코스닥150레버리지,"11,630",상승 120,+1.04%
6,KODEX 레버리지,"18,605",상승 385,+2.11%
7,세명전기,"4,340",상승 535,+14.06%
8,바이오스마트,"4,985",상승 480,+10.65%
9,KBI메탈,"2,255",상승 225,+11.08%
10,KODEX 인버스,"4,255",하락 45,-1.05%
11,시그네틱스,"1,852",상승 59,+3.29%
12,삼성중공업,"9,850",상승 380,+4.01%
13,엔시트론,591,상승 78,+15.20%
14,폴라리스AI,"2,090",하락 60,-2.79%
